game_nr,message,targets,fixed indices,context condition,distractors,accuracy
35,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],1,[0. 0. 3.],0.9921875
301,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],0,[3. 3. 0.],0.9890625476837158
444,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],2,[2. 0. 1.],0.9906250238418579
649,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],0,[2. 2. 3.],0.9906250238418579
667,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],1,[3. 2. 1.],0.9906250238418579
940,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],2,[1. 0. 2.],1.0
987,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],1,[2. 0. 3.],1.0
1123,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],0,[3. 3. 0.],0.9781249761581421
2042,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],2,[0. 0. 1.],0.9937499761581421
2073,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],2,[1. 0. 3.],1.0
2150,"[5, 8, 8]",[1. 0. 1.],[1. 1. 1.],1,[1. 1. 2.],0.965624988079071
